,Entity precision,Entity recall,Entity F,Sentiment precision,Sentiment recall,Sentiment F
-0.7533047598,0.8031,0.7693,0.7858,0.7648,0.7326,0.7483
-0.7482957644,0.8031,0.7693,0.7858,0.7648,0.7326,0.7483
0.3239369788,0.8065,0.7708,0.7883,0.7682,0.7342,0.7508
0.6333971634,0.8068,0.771,0.7885,0.7685,0.7344,0.751
1.132140394,0.8089,0.7721,0.7901,0.7707,0.7356,0.7527
1.835393503,0.8117,0.7746,0.7927,0.7748,0.7394,0.7567
2.593819808,0.8138,0.7765,0.7947,0.7794,0.7436,0.7611
2.713162059,0.8145,0.7776,0.7956,0.7798,0.7444,0.7617
3.163601528,0.8181,0.7792,0.7982,0.7842,0.7469,0.7651
3.202743162,0.8182,0.7788,0.798,0.7841,0.7464,0.7648
4.336691749,0.8279,0.7771,0.8017,0.7949,0.7461,0.7697
4.892136649,0.8249,0.7688,0.7959,0.791,0.7372,0.7632
5.023381063,0.8234,0.7668,0.7941,0.7894,0.735,0.7612
5.495538,0.8217,0.7645,0.7921,0.7866,0.7318,0.7582
6.374596786,0.8227,0.7632,0.7918,0.7868,0.7299,0.7573
6.92982277,0.8224,0.7627,0.7914,0.7866,0.7296,0.757
7.157155681,0.8224,0.7627,0.7914,0.7866,0.7296,0.757
7.201623881,0.8224,0.7627,0.7914,0.7866,0.7296,0.757
8.729569481,0.822,0.7623,0.791,0.7864,0.7292,0.7567
8.762235074,0.822,0.7623,0.791,0.7864,0.7292,0.7567
